MATAKULIAH;SEMESTER;NILAI
IS100 Management Information Systems;1511;3,265
IS100 Management Information Systems;1611;3,534285714
IS100 Management Information Systems;1711;3,308571429
IS100 Management Information Systems;1811;3,321428571
IS110 Business Mathematics;1511;3,087142857
IS110 Business Mathematics;1611;3,150714286
IS110 Business Mathematics;1711;3
IS155 Introduction to System and Information Technology;1811;3,395
IS201 Corporate Business Processes;1511;3,17
IS201 Corporate Business Processes;1521;2,958571429
IS201 Corporate Business Processes;1611;3,357857143
IS201 Corporate Business Processes;1621;3,44
IS201 Corporate Business Processes;1721;3,377142857
IS201 Corporate Business Processes;1811;3,323571429
IS201 Corporate Business Processes;1821;3,423571429
IS220 Human and Computer Interaction;1521;3,295
IS220 Human and Computer Interaction;1621;3,102142857
IS220 Human and Computer Interaction;1721;3,22
IS220 Human and Computer Interaction;1821;3,297142857
IS228 Supply Chain Management;1721;3,477142857
IS228 Supply Chain Management;1821;3,542857143
IS230 Algorithms and Programming;1511;3,205714286
IS230 Algorithms and Programming;1521;3,052857143
IS230 Algorithms and Programming;1621;3,210714286
IS230 Algorithms and Programming;1721;3,188571429
IS240 Probability and Statistic;1521;3,009285714
IS240 Probability and Statistic;1611;3,663571429
IS240 Probability and Statistic;1621;2,671428571
IS240 Probability and Statistic;1721;3,424285714
IS240 Probability and Statistic;1821;3,143571429
IS250 Business Ethics and Law;1521;3,167142857
IS250 Business Ethics and Law;1621;3,353571429
IS250 Business Ethics and Law;1721;3,350714286
IS251 Organizational Behavior;1521;3,602857143
IS251 Organizational Behavior;1621;3,67
IS251 Organizational Behavior;1721;3,616428571
IS251 Organizational Behavior;1821;3,836428571
IS255 Algorithm and Data Structure;1821;2,657857143
IS302 Operating Systems Concept;1511;3,179285714
IS302 Operating Systems Concept;1611;2,505714286
IS321 Information Systems Analysis and Design;1511;3,258571429
IS321 Information Systems Analysis and Design;1611;3,297142857
IS321 Information Systems Analysis and Design;1811;3,397142857
IS341 Database Systems;1511;2,985
IS341 Database Systems;1611;3,308571429
IS341 Database Systems;1811;3,260714286
IS355 Operating System Concept;1811;3,130714286
IS388 Data Analysis;1811;3,317857143
IS403 Enterprise Resource Planning;1511;3,342857143
IS403 Enterprise Resource Planning;1521;3,11
IS403 Enterprise Resource Planning;1621;3,25
IS403 Enterprise Resource Planning;1721;3,297857143
IS403 Enterprise Resource Planning;1821;3,415
IS422 Advanced IS Analysis & Design;1511;3,315
IS422 Advanced IS Analysis & Design;1521;3,077142857
IS422 Advanced IS Analysis & Design;1621;3,228571429
IS422 Advanced IS Analysis & Design;1721;3,215
IS422 Advanced IS Analysis & Design;1821;3,093571429
IS431 Visual Programming;1521;2,960714286
IS431 Visual Programming;1621;2,304285714
IS431 Visual Programming;1721;3,146428571
IS431 Visual Programming;1821;3,121428571
IS432 Introduction to E-Business;1511;3,540714286
IS432 Introduction to E-Business;1521;3,093571429
IS432 Introduction to E-Business;1621;3,05
IS432 Introduction to E-Business;1721;3,220714286
IS442 Corporate Database;1521;3,037142857
IS442 Corporate Database;1621;3,164285714
IS442 Corporate Database;1721;3,384285714
IS512 IS Project Management;1511;3,116428571
IS512 IS Project Management;1611;3,13
IS512 IS Project Management;1811;3,362857143
IS513 E-Business;1521;3,466428571
IS513 E-Business;1611;3,362857143
IS534 Mobile Application Development;1611;2,97
IS534 Mobile Application Development;1811;3,305714286
IS535 iOS Programming 1;1611;3,346428571
IS543 Decision Support System;1511;3,353571429
IS543 Decision Support System;1611;3,202142857
IS543 Decision Support System;1811;3,111428571
IS544 Advanced Database;1511;3,302857143
IS544 Advanced Database;1611;3,237857143
IS544 Advanced Database;1711;3,431428571
IS544 Advanced Database;1811;3,406428571
